Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1961,1961,ha,500000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1961,1961,kg/ha,1400,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1961,1961,t,700000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1962,1962,ha,500000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1962,1962,kg/ha,1400,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1962,1962,t,700000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1963,1963,ha,500000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1963,1963,kg/ha,1426,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1963,1963,t,713000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1964,1964,ha,505000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1964,1964,kg/ha,1425.7,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1964,1964,t,720000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1965,1965,ha,500000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1965,1965,kg/ha,1440,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1965,1965,t,720000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1966,1966,ha,500000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1966,1966,kg/ha,1440,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1966,1966,t,720000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1967,1967,ha,543000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1967,1967,kg/ha,1414.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1967,1967,t,768000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1968,1968,ha,453000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1968,1968,kg/ha,1706.4,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1968,1968,t,773000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1969,1969,ha,457000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1969,1969,kg/ha,1717.7,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (corn),1969,1969,t,785000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5312,Area harvested,112,Maize (corn),1970,1970,ha,452000,A,Official figure,
QCL,Crops and livestock products,4,Afghanistan,5412,Yield,112,Maize (corn),1970,1970,kg/ha,1475.7,A,Official figure,
